x1,x2,x3,x4,x5
1.0,0.24711479,0.3804538,0.33411448,0.20136354
2.0,0.2335976,0.36673149,0.33869025,0.19212626
3.0,0.19302188,0.36750548,0.34179572,0.18514939
4.0,0.17414125,0.34521195,0.34134219,0.1658999
5.0,0.16207615,0.33006323,0.32339483,0.14986465
6.0,0.14359937,0.3096499,0.32886164,0.12517778
7.0,0.1447851,0.30650086,0.32342622,0.10477192
8.0,0.12302042,0.2934604,0.30646637,0.09150061
9.0,0.1298675,0.27127287,0.26406308,0.09502828
10.0,0.10045719,0.23395729,0.23921652,0.10499333
11.0,0.12733208,0.22308825,0.24057886,0.10193717
12.0,0.10212479,0.23874495,0.25704836,0.11992828
13.0,0.15171531,0.27355941,0.28421562,0.1590897
14.0,0.14829719,0.31912053,0.31641204,0.1781499
15.0,0.20971917,0.34076805,0.32999433,0.22996242
16.0,0.28595208,0.38585122,0.36674602,0.28726242
17.0,0.34353125,0.41365578,0.36973617,0.33558141
18.0,0.37829979,0.42551063,0.37507363,0.38552576
19.0,0.41551313,0.40551201,0.40927194,0.4288998
20.0,0.45803125,0.38982785,0.39967905,0.43821606
21.0,0.42673552,0.3649233,0.39863955,0.42170576
22.0,0.38249031,0.34301894,0.36545289,0.36568071
23.0,0.30202854,0.34436172,0.35436318,0.32089384
24.0,0.25330062,0.34488554,0.35514403,0.26919758
