x1,x2,x3,x4,x5
1.0,0.71418052,0.75797558,0.78968766,0.75497768
2.0,0.73870531,0.74864007,0.77882876,0.74221263
3.0,0.74289177,0.73291063,0.76114547,0.76015848
4.0,0.72971948,0.73691168,0.75002851,0.71301505
5.0,0.72128917,0.74840119,0.72338493,0.70843869
6.0,0.70888781,0.73667696,0.71336552,0.69137879
7.0,0.69859917,0.74106363,0.68788035,0.67437384
8.0,0.63828708,0.71492469,0.69006517,0.58044515
9.0,0.47734375,0.68712449,0.64451383,0.44071869
10.0,0.43595802,0.63070119,0.55543025,0.39109758
11.0,0.41432104,0.52549578,0.47339468,0.36858747
12.0,0.37824156,0.50489564,0.42567766,0.36049768
13.0,0.37644073,0.51878363,0.43324766,0.35877475
14.0,0.3998924,0.52419868,0.43822697,0.40484202
15.0,0.44862583,0.53410073,0.45658473,0.44540475
16.0,0.45798948,0.52935584,0.46811254,0.49011889
17.0,0.53388813,0.53926053,0.47494313,0.55902677
18.0,0.54988354,0.56129479,0.47964015,0.64090263
19.0,0.57553448,0.61705723,0.54160448,0.60387919
20.0,0.62285562,0.67948752,0.62643627,0.73691121
21.0,0.69494698,0.73789716,0.67156985,0.74797889
22.0,0.71592042,0.75371611,0.70106886,0.71253162
23.0,0.75729906,0.7688336,0.72142264,0.69963768
24.0,0.76713448,0.80212568,0.71978507,0.7181198
